Image_Number,Human1,Human2,Human3,Human4,Human5,Human6,Human7,Human8,Human9,Human10,Human11,Human12,Human13,Human14,Human15,Human16,Human17,Human18,Human19,Human20,Aura
401416,176.40,,,,,,,,,,,,,,,,,,,,176.40
330637,309.55,,,,,,,,,,,,,,,,,,,,309.55
204606,293.27,,,,,,,,,,,,,,,,,,,,293.27
544107,138.39,,,,,,,,,,,,,,,,,,,,138.39
489520,57.93,11.91,16.97,19.83,34.21,12.02,11.17,13.38,16.93,,,,,,,,,,,,21.59
113991,22.76,,,,,,,,,,,,,,,,,,,,22.76
211806,381.70,,,,,,,,,,,,,,,,,,,,381.70
44901,165.79,125.38,215.41,,,,,,,,,,,,,,,,,,168.86
94548,58.02,,,,,,,,,,,,,,,,,,,,58.02
334932,409.83,,,,,,,,,,,,,,,,,,,,409.83
374208,115.42,,,,,,,,,,,,,,,,,,,,115.42
59993,284.42,114.70,,,,,,,,,,,,,,,,,,,199.56
165688,13.21,9.73,9.49,5.09,6.87,,,,,,,,,,,,,,,,8.88
122189,49.83,,,,,,,,,,,,,,,,,,,,49.83
436833,152.09,,,,,,,,,,,,,,,,,,,,152.09
169095,344.74,33.46,23.92,71.07,191.71,107.19,61.04,,,,,,,,,,,,,,119.02
193557,9.29,8.16,3.64,8.64,5.56,5.53,10.62,5.39,,,,,,,,,,,,,7.10
63418,271.49,267.22,,,,,,,,,,,,,,,,,,,269.36
236897,89.03,131.74,,,,,,,,,,,,,,,,,,,110.39
401512,170.79,36.27,,,,,,,,,,,,,,,,,,,103.53
452859,163.51,88.58,111.86,,,,,,,,,,,,,,,,,,121.32
102116,184.92,,,,,,,,,,,,,,,,,,,,184.92
255226,319.28,,,,,,,,,,,,,,,,,,,,319.28
430493,307.00,,,,,,,,,,,,,,,,,,,,307.00
169865,212.37,47.51,17.98,50.02,,,,,,,,,,,,,,,,,81.97
106772,309.26,,,,,,,,,,,,,,,,,,,,309.26
308847,79.54,12.67,14.54,72.91,11.85,16.83,,,,,,,,,,,,,,,34.72
78681,12.11,13.10,9.97,,,,,,,,,,,,,,,,,,11.73
104977,495.30,,,,,,,,,,,,,,,,,,,,495.30
101904,24.32,63.65,61.60,42.38,18.51,21.68,25.08,28.45,34.87,12.75,,,,,,,,,,,33.33
398623,155.90,173.44,,,,,,,,,,,,,,,,,,,164.67
492466,159.64,161.55,55.26,55.50,39.30,29.42,38.97,46.18,28.18,27.69,126.48,29.47,20.54,526.00,,,,,,,96.01
523524,160.48,159.70,,,,,,,,,,,,,,,,,,,160.09
135754,180.55,,,,,,,,,,,,,,,,,,,,180.55
149388,279.56,181.35,79.60,73.12,28.58,,,,,,,,,,,,,,,,128.44
370729,387.82,,,,,,,,,,,,,,,,,,,,387.82
424544,226.96,,,,,,,,,,,,,,,,,,,,226.96
96746,421.17,,,,,,,,,,,,,,,,,,,,421.17
146501,19.00,16.51,16.40,12.65,12.00,,,,,,,,,,,,,,,,15.31
414881,92.95,156.93,,,,,,,,,,,,,,,,,,,124.94
164543,176.29,10.71,18.95,9.47,,,,,,,,,,,,,,,,,53.85
572089,190.57,,,,,,,,,,,,,,,,,,,,190.57
538534,499.16,191.29,,,,,,,,,,,,,,,,,,,345.23
254078,195.42,84.43,,,,,,,,,,,,,,,,,,,139.93
107233,161.44,79.46,72.97,49.55,,,,,,,,,,,,,,,,,90.86
558584,275.68,239.20,58.24,26.98,,,,,,,,,,,,,,,,,150.03
165488,78.70,,,,,,,,,,,,,,,,,,,,78.70
91337,151.68,,,,,,,,,,,,,,,,,,,,151.68
220031,39.27,,,,,,,,,,,,,,,,,,,,39.27
403306,148.17,172.12,,,,,,,,,,,,,,,,,,,160.15
247909,60.20,,,,,,,,,,,,,,,,,,,,60.20
188143,339.90,236.12,144.51,,,,,,,,,,,,,,,,,,240.18
197632,107.15,226.59,235.70,63.97,59.92,58.76,,,,,,,,,,,,,,,125.35
215380,251.99,101.81,181.22,,,,,,,,,,,,,,,,,,178.34
359253,401.11,115.13,115.13,,,,,,,,,,,,,,,,,,210.46
2951,27.01,16.85,21.63,,,,,,,,,,,,,,,,,,21.83
458199,214.29,,,,,,,,,,,,,,,,,,,,214.29
468202,268.67,,,,,,,,,,,,,,,,,,,,268.67
278612,56.63,67.09,33.56,,,,,,,,,,,,,,,,,,52.43
440136,176.95,,,,,,,,,,,,,,,,,,,,176.95
377760,184.55,98.96,55.75,,,,,,,,,,,,,,,,,,113.09
178951,97.93,41.78,26.97,,,,,,,,,,,,,,,,,,55.56
188929,313.53,,,,,,,,,,,,,,,,,,,,313.53
396793,339.68,93.50,,,,,,,,,,,,,,,,,,,216.59
272653,77.00,22.73,9.30,209.21,,,,,,,,,,,,,,,,,79.56
320609,286.28,,,,,,,,,,,,,,,,,,,,286.28
71092,109.98,,,,,,,,,,,,,,,,,,,,109.98
123532,129.43,42.60,,,,,,,,,,,,,,,,,,,86.02
545351,116.53,83.35,,,,,,,,,,,,,,,,,,,99.94
558824,201.50,142.97,44.88,,,,,,,,,,,,,,,,,,129.78
554664,170.83,43.82,,,,,,,,,,,,,,,,,,,107.33
112706,289.13,294.58,242.89,,,,,,,,,,,,,,,,,,275.53
283018,112.75,158.20,,,,,,,,,,,,,,,,,,,135.47
493918,96.14,17.45,11.52,6.73,,,,,,,,,,,,,,,,,32.96
158759,70.14,16.82,31.31,6.40,11.80,,,,,,,,,,,,,,,,27.29
137332,244.50,69.61,9.99,,,,,,,,,,,,,,,,,,108.03
478445,86.22,116.50,40.49,,,,,,,,,,,,,,,,,,81.07
459328,33.91,142.38,31.96,24.87,23.08,31.40,15.75,96.12,113.45,,,,,,,,,,,,56.99
74007,77.12,40.42,46.93,61.83,51.04,,,,,,,,,,,,,,,,55.47
443974,205.67,,,,,,,,,,,,,,,,,,,,205.67
225828,489.59,,,,,,,,,,,,,,,,,,,,489.59
28012,424.56,,,,,,,,,,,,,,,,,,,,424.56
265646,167.89,,,,,,,,,,,,,,,,,,,,167.89
324699,441.17,235.68,30.43,,,,,,,,,,,,,,,,,,235.76
48863,162.82,,,,,,,,,,,,,,,,,,,,162.82
384078,106.43,54.60,59.95,62.50,91.96,,,,,,,,,,,,,,,,75.09
369338,508.48,,,,,,,,,,,,,,,,,,,,508.48
335735,142.57,,,,,,,,,,,,,,,,,,,,142.57
177011,114.34,140.26,13.78,13.82,7.03,37.54,132.32,24.25,114.75,15.29,,,,,,,,,,,61.34
165200,173.08,43.90,48.30,54.42,43.90,,,,,,,,,,,,,,,,72.72
198506,70.08,44.33,48.23,34.04,23.55,53.18,,,,,,,,,,,,,,,45.57
178198,156.18,52.08,93.50,,,,,,,,,,,,,,,,,,100.59
442451,250.24,310.82,,,,,,,,,,,,,,,,,,,280.53
347274,256.00,11.98,8.82,19.21,,,,,,,,,,,,,,,,,74.00
11754,89.55,,,,,,,,,,,,,,,,,,,,89.55
43033,153.61,,,,,,,,,,,,,,,,,,,,153.61
487781,51.60,,,,,,,,,,,,,,,,,,,,51.60
313019,39.26,92.35,41.53,67.42,89.77,18.44,17.12,,,,,,,,,,,,,,52.27
506141,42.61,,,,,,,,,,,,,,,,,,,,42.61
534034,99.76,,,,,,,,,,,,,,,,,,,,99.76
485777,547.95,,,,,,,,,,,,,,,,,,,,547.95
18994,84.96,218.51,40.65,,,,,,,,,,,,,,,,,,114.71
277912,98.66,12.27,9.62,9.15,13.62,9.96,12.76,9.17,9.63,9.44,8.79,16.68,6.34,28.00,,,,,,,18.15
441459,89.71,,,,,,,,,,,,,,,,,,,,89.71
313397,117.01,237.71,350.97,,,,,,,,,,,,,,,,,,235.23
515392,305.59,,,,,,,,,,,,,,,,,,,,305.59
352654,457.35,314.24,109.31,143.67,,,,,,,,,,,,,,,,,256.14
250518,203.90,,,,,,,,,,,,,,,,,,,,203.90
519588,371.54,,,,,,,,,,,,,,,,,,,,371.54
192183,93.19,31.58,166.69,,,,,,,,,,,,,,,,,,97.15
478811,510.13,,,,,,,,,,,,,,,,,,,,510.13
402212,75.27,59.45,19.65,20.32,37.47,15.53,30.36,28.06,14.88,21.53,17.76,,,,,,,,,,30.93
85372,70.44,,,,,,,,,,,,,,,,,,,,70.44
416576,135.59,329.57,115.50,,,,,,,,,,,,,,,,,,193.55
156135,132.61,57.81,72.05,,,,,,,,,,,,,,,,,,87.49
169494,112.80,124.32,91.46,,,,,,,,,,,,,,,,,,109.53
337394,18.50,9.14,16.02,13.23,9.48,14.11,11.50,8.39,16.81,7.10,,,,,,,,,,,12.43
236078,193.26,,,,,,,,,,,,,,,,,,,,193.26
205769,103.32,130.81,,,,,,,,,,,,,,,,,,,117.06
160899,88.22,45.29,85.75,85.42,66.04,30.12,14.77,15.34,27.04,,,,,,,,,,,,50.89
373325,192.82,,,,,,,,,,,,,,,,,,,,192.82
37327,300.54,,,,,,,,,,,,,,,,,,,,300.54
291189,67.96,,,,,,,,,,,,,,,,,,,,67.96
116982,266.16,61.98,,,,,,,,,,,,,,,,,,,164.07
285013,369.84,,,,,,,,,,,,,,,,,,,,369.84
417616,128.58,146.81,44.34,,,,,,,,,,,,,,,,,,106.58
522413,179.38,,,,,,,,,,,,,,,,,,,,179.38
257674,169.77,,,,,,,,,,,,,,,,,,,,169.77
563053,11.29,11.31,,,,,,,,,,,,,,,,,,,11.30
417219,97.65,98.38,91.15,104.98,53.98,42.20,,,,,,,,,,,,,,,81.39
111189,85.98,80.50,87.87,76.45,,,,,,,,,,,,,,,,,82.70
533504,64.02,85.97,,,,,,,,,,,,,,,,,,,75.00
136310,286.71,300.95,,,,,,,,,,,,,,,,,,,293.83
292596,158.56,,,,,,,,,,,,,,,,,,,,158.56
233290,371.06,161.50,156.77,77.32,60.98,,,,,,,,,,,,,,,,165.53
394580,203.86,17.18,14.65,,,,,,,,,,,,,,,,,,78.56
81009,36.11,30.74,,,,,,,,,,,,,,,,,,,33.42
455400,26.19,34.22,22.48,34.15,23.94,14.26,13.93,12.60,17.15,28.85,14.33,13.45,16.51,27.00,,,,,,,21.36
475313,196.15,94.88,99.30,30.20,,,,,,,,,,,,,,,,,105.13
540892,33.93,18.52,21.97,,,,,,,,,,,,,,,,,,24.81
509030,119.71,101.48,83.49,14.40,,,,,,,,,,,,,,,,,79.77
505058,36.82,31.54,,,,,,,,,,,,,,,,,,,34.18
277968,330.16,,,,,,,,,,,,,,,,,,,,330.16
186941,112.56,,,,,,,,,,,,,,,,,,,,112.56
547960,24.53,12.26,11.50,27.65,22.96,18.27,16.55,,,,,,,,,,,,,,19.10
21534,230.83,,,,,,,,,,,,,,,,,,,,230.83
349932,477.85,485.39,326.83,148.86,,,,,,,,,,,,,,,,,359.73
492259,176.25,,,,,,,,,,,,,,,,,,,,176.25
259192,236.21,153.82,305.93,46.69,,,,,,,,,,,,,,,,,185.66
386468,174.92,190.29,125.59,,,,,,,,,,,,,,,,,,163.60
445522,235.26,,,,,,,,,,,,,,,,,,,,235.26
463304,119.90,,,,,,,,,,,,,,,,,,,,119.90
490481,253.65,,,,,,,,,,,,,,,,,,,,253.65
401301,505.42,39.23,,,,,,,,,,,,,,,,,,,272.32
317873,72.02,25.90,,,,,,,,,,,,,,,,,,,48.96
96800,226.88,,,,,,,,,,,,,,,,,,,,226.88
506039,209.64,,,,,,,,,,,,,,,,,,,,209.64
284932,52.37,16.89,18.97,12.45,19.21,14.82,16.31,19.29,11.16,9.89,1.46,21.35,,,,,,,,,17.85
249618,311.53,347.20,,,,,,,,,,,,,,,,,,,329.37
340331,311.36,69.25,,,,,,,,,,,,,,,,,,,190.31
402396,172.72,,,,,,,,,,,,,,,,,,,,172.72
261879,373.48,276.91,,,,,,,,,,,,,,,,,,,325.20
273887,107.72,328.00,,,,,,,,,,,,,,,,,,,217.86
316044,186.60,,,,,,,,,,,,,,,,,,,,186.60
570805,258.93,,,,,,,,,,,,,,,,,,,,258.93
346799,345.95,,,,,,,,,,,,,,,,,,,,345.95
57895,117.97,,,,,,,,,,,,,,,,,,,,117.97
203112,457.97,215.35,,,,,,,,,,,,,,,,,,,336.66
327215,80.54,,,,,,,,,,,,,,,,,,,,80.54
521226,30.56,20.29,,,,,,,,,,,,,,,,,,,25.42
385241,181.89,,,,,,,,,,,,,,,,,,,,181.89
104919,97.97,,,,,,,,,,,,,,,,,,,,97.97
496732,472.45,166.53,81.43,,,,,,,,,,,,,,,,,,240.14
345831,52.90,,,,,,,,,,,,,,,,,,,,52.90
14677,82.93,74.27,78.07,,,,,,,,,,,,,,,,,,78.42
428320,9.18,4.50,23.56,,,,,,,,,,,,,,,,,,12.41
308053,397.75,,,,,,,,,,,,,,,,,,,,397.75
398938,221.61,,,,,,,,,,,,,,,,,,,,221.61
284701,107.98,,,,,,,,,,,,,,,,,,,,107.98
5021,167.78,358.31,,,,,,,,,,,,,,,,,,,263.05
312352,42.29,3.32,6.93,,,,,,,,,,,,,,,,,,17.51
60056,169.71,,,,,,,,,,,,,,,,,,,,169.71
567384,89.66,,,,,,,,,,,,,,,,,,,,89.66
144772,456.36,124.45,31.99,,,,,,,,,,,,,,,,,,204.27
160428,292.08,131.89,65.98,113.72,12.38,54.21,41.96,24.68,,,,,,,,,,,,,92.11
317102,406.33,43.41,36.69,19.52,87.62,46.68,18.94,22.45,43.16,90.74,,,,,,,,,,,81.55
125725,29.83,18.64,,,,,,,,,,,,,,,,,,,24.23
435468,467.41,,,,,,,,,,,,,,,,,,,,467.41
393428,209.66,,,,,,,,,,,,,,,,,,,,209.66
223595,136.38,80.60,74.67,,,,,,,,,,,,,,,,,,97.22
81447,136.68,,,,,,,,,,,,,,,,,,,,136.68
176947,299.95,325.29,282.10,,,,,,,,,,,,,,,,,,302.45
129758,155.61,66.40,,,,,,,,,,,,,,,,,,,111.01
208963,271.60,64.72,110.28,111.37,64.52,,,,,,,,,,,,,,,,124.50
15496,121.35,154.24,,,,,,,,,,,,,,,,,,,137.80
6747,132.38,291.66,264.30,,,,,,,,,,,,,,,,,,229.45
71838,170.67,,,,,,,,,,,,,,,,,,,,170.67
349170,312.20,172.30,61.73,116.45,,,,,,,,,,,,,,,,,165.67
146654,202.79,,,,,,,,,,,,,,,,,,,,202.79
318840,68.65,126.91,,,,,,,,,,,,,,,,,,,97.78
39686,128.75,43.81,,,,,,,,,,,,,,,,,,,86.28
319197,176.79,,,,,,,,,,,,,,,,,,,,176.79
335725,83.42,23.75,27.98,32.85,22.06,28.21,21.18,9.73,13.24,39.80,,,,,,,,,,,30.22
576810,451.84,181.62,60.72,62.37,59.00,,,,,,,,,,,,,,,,163.11
552810,82.08,208.69,285.77,,,,,,,,,,,,,,,,,,192.18
517026,258.88,,,,,,,,,,,,,,,,,,,,258.88
541918,245.05,,,,,,,,,,,,,,,,,,,,245.05
567727,453.24,,,,,,,,,,,,,,,,,,,,453.24
547672,101.05,,,,,,,,,,,,,,,,,,,,101.05
408874,135.30,278.19,214.38,86.51,,,,,,,,,,,,,,,,,178.59
348794,76.26,36.22,98.89,52.56,32.92,28.40,,,,,,,,,,,,,,,54.21
300186,633.57,,,,,,,,,,,,,,,,,,,,633.57
244862,72.91,,,,,,,,,,,,,,,,,,,,72.91
18683,227.57,218.70,130.17,,,,,,,,,,,,,,,,,,192.15
489573,132.00,,,,,,,,,,,,,,,,,,,,132.00
533381,232.47,,,,,,,,,,,,,,,,,,,,232.47
428164,95.07,132.02,83.00,,,,,,,,,,,,,,,,,,103.36
1864,278.11,31.86,,,,,,,,,,,,,,,,,,,154.99
289024,260.32,,,,,,,,,,,,,,,,,,,,260.32
216676,201.71,,,,,,,,,,,,,,,,,,,,201.71
488980,199.56,,,,,,,,,,,,,,,,,,,,199.56
314357,189.24,171.92,,,,,,,,,,,,,,,,,,,180.58
305105,194.79,176.96,183.38,156.60,,,,,,,,,,,,,,,,,177.93
39764,374.53,273.26,,,,,,,,,,,,,,,,,,,323.89
534751,357.30,97.44,,,,,,,,,,,,,,,,,,,227.37
368,229.62,53.74,57.02,39.54,37.06,44.11,76.58,37.18,29.04,18.84,19.92,18.76,,,,,,,,,55.12
212019,480.00,,,,,,,,,,,,,,,,,,,,480.00
83153,23.01,36.11,,,,,,,,,,,,,,,,,,,29.56
166261,231.82,,,,,,,,,,,,,,,,,,,,231.82
511325,57.47,,,,,,,,,,,,,,,,,,,,57.47
426656,117.75,96.68,81.16,20.87,19.59,11.39,,,,,,,,,,,,,,,57.91
507871,265.33,,,,,,,,,,,,,,,,,,,,265.33
65189,111.50,24.34,6.68,17.13,14.57,4.91,25.48,,,,,,,,,,,,,,29.23
77864,245.96,,,,,,,,,,,,,,,,,,,,245.96
285891,277.60,,,,,,,,,,,,,,,,,,,,277.60
283240,124.55,32.91,,,,,,,,,,,,,,,,,,,78.73
251804,300.27,181.88,123.39,45.92,36.23,45.39,,,,,,,,,,,,,,,122.18
19781,330.00,,,,,,,,,,,,,,,,,,,,330.00
148646,79.89,,,,,,,,,,,,,,,,,,,,79.89
478198,119.19,13.64,90.83,51.00,83.82,34.77,42.24,87.86,69.36,70.27,43.43,30.97,29.13,623.00,,,,,,,99.25
163103,136.62,,,,,,,,,,,,,,,,,,,,136.62
489145,84.14,88.57,,,,,,,,,,,,,,,,,,,86.35
113259,50.31,25.36,32.52,12.75,41.32,11.26,12.35,12.83,58.72,11.87,12.15,,,,,,,,,,25.59
512325,91.90,,,,,,,,,,,,,,,,,,,,91.90
358421,384.51,,,,,,,,,,,,,,,,,,,,384.51
488032,71.43,207.57,,,,,,,,,,,,,,,,,,,139.50
68094,323.60,,,,,,,,,,,,,,,,,,,,323.60
164042,327.21,253.15,44.34,,,,,,,,,,,,,,,,,,208.23
48617,144.53,,,,,,,,,,,,,,,,,,,,144.53
375709,198.69,,,,,,,,,,,,,,,,,,,,198.69
384161,37.75,21.68,11.51,12.05,6.89,30.57,70.62,10.71,,,,,,,,,,,,,25.22
151833,267.98,21.35,25.37,47.68,29.38,,,,,,,,,,,,,,,,78.35
528448,204.94,,,,,,,,,,,,,,,,,,,,204.94
136932,258.12,92.87,221.66,219.63,61.40,41.08,79.75,98.71,,,,,,,,,,,,,134.15
59494,9.39,12.73,10.58,,,,,,,,,,,,,,,,,,10.90
486244,163.71,,,,,,,,,,,,,,,,,,,,163.71
513806,50.41,79.34,36.67,42.35,16.75,25.56,18.25,,,,,,,,,,,,,,38.48
67985,546.67,,,,,,,,,,,,,,,,,,,,546.67
5156,53.06,,,,,,,,,,,,,,,,,,,,53.06
128977,183.81,,,,,,,,,,,,,,,,,,,,183.81
331074,68.65,,,,,,,,,,,,,,,,,,,,68.65
8297,127.34,,,,,,,,,,,,,,,,,,,,127.34
137052,31.93,35.58,40.60,,,,,,,,,,,,,,,,,,36.04
314048,343.42,209.45,,,,,,,,,,,,,,,,,,,276.44
9789,291.76,168.59,130.27,41.10,172.93,,,,,,,,,,,,,,,,160.93
481306,224.89,,,,,,,,,,,,,,,,,,,,224.89
554452,354.48,35.96,30.26,36.02,,,,,,,,,,,,,,,,,114.18
154547,211.96,,,,,,,,,,,,,,,,,,,,211.96
131937,215.25,,,,,,,,,,,,,,,,,,,,215.25
67259,42.19,49.68,22.42,47.13,14.39,12.50,11.32,13.46,23.36,16.11,40.60,26.51,11.24,,,,,,,,25.45
221057,29.65,47.38,70.14,36.46,9.16,28.40,25.72,39.98,17.65,31.08,18.17,32.23,17.70,,,,,,,,31.06
56226,65.17,,,,,,,,,,,,,,,,,,,,65.17
54149,122.25,90.61,111.77,,,,,,,,,,,,,,,,,,108.21
209787,183.90,277.31,,,,,,,,,,,,,,,,,,,230.61
262705,244.15,,,,,,,,,,,,,,,,,,,,244.15
96660,152.55,17.55,,,,,,,,,,,,,,,,,,,85.05
560389,27.10,2.90,,,,,,,,,,,,,,,,,,,15.00
87465,135.21,96.21,155.33,,,,,,,,,,,,,,,,,,128.92
540439,371.02,262.06,,,,,,,,,,,,,,,,,,,316.54
411274,311.03,83.05,214.65,29.48,37.09,108.55,39.25,68.68,71.19,,,,,,,,,,,,107.00
311612,290.75,361.06,,,,,,,,,,,,,,,,,,,325.90
433563,74.58,51.42,31.71,27.14,6.29,,,,,,,,,,,,,,,,38.23
81463,364.61,,,,,,,,,,,,,,,,,,,,364.61
449136,180.15,46.24,,,,,,,,,,,,,,,,,,,113.20
1237,459.55,144.29,167.16,85.16,31.51,31.41,54.23,136.94,,,,,,,,,,,,,138.78
529910,49.26,53.96,38.06,40.13,39.38,52.98,10.36,40.07,13.36,15.03,42.38,,,,,,,,,,35.91
534676,165.40,,,,,,,,,,,,,,,,,,,,165.40
262413,231.03,,,,,,,,,,,,,,,,,,,,231.03
182639,48.72,18.97,20.51,29.66,35.93,17.63,30.75,11.36,35.20,47.68,23.93,9.40,,,,,,,,,27.48
463004,443.88,,,,,,,,,,,,,,,,,,,,443.88
558031,222.93,154.25,,,,,,,,,,,,,,,,,,,188.59
543263,150.67,69.81,18.06,20.40,10.44,9.07,11.04,15.99,10.80,10.63,8.54,12.09,11.55,580.00,,,,,,,67.08
2782,81.47,,,,,,,,,,,,,,,,,,,,81.47
486070,39.02,,,,,,,,,,,,,,,,,,,,39.02
514392,16.88,9.52,12.32,13.45,6.14,10.71,8.04,6.62,,,,,,,,,,,,,10.46
560123,73.71,74.39,43.13,,,,,,,,,,,,,,,,,,63.74
176176,368.00,,,,,,,,,,,,,,,,,,,,368.00
384780,170.83,,,,,,,,,,,,,,,,,,,,170.83
49357,80.07,5.63,5.36,3.56,2.73,2.66,5.31,,,,,,,,,,,,,,15.05
204671,126.51,16.36,,,,,,,,,,,,,,,,,,,71.44
259676,269.48,,,,,,,,,,,,,,,,,,,,269.48
236015,79.78,,,,,,,,,,,,,,,,,,,,79.78
260545,363.05,,,,,,,,,,,,,,,,,,,,363.05
212095,274.44,42.33,,,,,,,,,,,,,,,,,,,158.38
13969,330.81,119.74,,,,,,,,,,,,,,,,,,,225.28
363202,237.67,189.84,86.72,88.80,,,,,,,,,,,,,,,,,150.76
224989,247.12,180.87,165.58,19.53,,,,,,,,,,,,,,,,,153.28
390797,423.91,,,,,,,,,,,,,,,,,,,,423.91
202738,413.40,,,,,,,,,,,,,,,,,,,,413.40
253148,52.09,,,,,,,,,,,,,,,,,,,,52.09
191856,168.17,,,,,,,,,,,,,,,,,,,,168.17
322869,37.59,,,,,,,,,,,,,,,,,,,,37.59
355907,91.15,,,,,,,,,,,,,,,,,,,,91.15
3514,251.89,326.86,176.32,,,,,,,,,,,,,,,,,,251.69
236228,150.67,,,,,,,,,,,,,,,,,,,,150.67
458594,12.16,8.73,8.26,7.48,5.58,13.59,,,,,,,,,,,,,,,9.30
22974,248.16,,,,,,,,,,,,,,,,,,,,248.16
10817,71.90,159.20,142.19,,,,,,,,,,,,,,,,,,124.43
511641,500.00,,,,,,,,,,,,,,,,,,,,500.00
402563,221.44,103.99,33.23,84.31,70.76,,,,,,,,,,,,,,,,102.75
89115,73.05,,,,,,,,,,,,,,,,,,,,73.05
564448,289.02,38.54,14.59,,,,,,,,,,,,,,,,,,114.05
370827,53.35,154.48,,,,,,,,,,,,,,,,,,,103.91
330359,136.91,,,,,,,,,,,,,,,,,,,,136.91
391786,256.72,,,,,,,,,,,,,,,,,,,,256.72
342483,14.86,21.65,20.53,12.71,13.81,24.49,18.91,12.27,,,,,,,,,,,,,17.40
311116,64.45,,,,,,,,,,,,,,,,,,,,64.45
88576,249.69,,,,,,,,,,,,,,,,,,,,249.69
311408,80.51,,,,,,,,,,,,,,,,,,,,80.51
156125,390.42,90.30,,,,,,,,,,,,,,,,,,,240.36
114535,66.82,70.22,,,,,,,,,,,,,,,,,,,68.52
559525,206.18,260.90,,,,,,,,,,,,,,,,,,,233.54
89203,7.72,8.75,9.38,7.22,13.38,3.48,9.98,8.52,7.78,,,,,,,,,,,,8.47
446269,394.98,64.12,60.36,70.00,,,,,,,,,,,,,,,,,147.37
205334,274.44,41.70,86.49,,,,,,,,,,,,,,,,,,134.21
22116,151.85,,,,,,,,,,,,,,,,,,,,151.85
129056,181.80,,,,,,,,,,,,,,,,,,,,181.80
269913,401.00,,,,,,,,,,,,,,,,,,,,401.00
415435,198.02,,,,,,,,,,,,,,,,,,,,198.02
172387,339.54,,,,,,,,,,,,,,,,,,,,339.54
421243,363.21,,,,,,,,,,,,,,,,,,,,363.21
151259,198.58,,,,,,,,,,,,,,,,,,,,198.58
102290,536.45,149.32,10.60,13.36,,,,,,,,,,,,,,,,,177.43
209493,291.33,,,,,,,,,,,,,,,,,,,,291.33
31157,481.08,,,,,,,,,,,,,,,,,,,,481.08
207058,160.25,129.83,152.57,112.27,112.09,,,,,,,,,,,,,,,,133.40
578023,201.71,82.98,197.39,25.89,13.47,,,,,,,,,,,,,,,,104.29
176384,126.93,,,,,,,,,,,,,,,,,,,,126.93
422255,308.30,350.70,134.06,92.02,68.40,56.16,128.24,,,,,,,,,,,,,,162.55
72177,285.24,84.87,89.16,82.25,24.76,47.75,52.73,77.16,64.19,,,,,,,,,,,,89.79
506398,100.13,59.93,77.47,38.82,200.16,71.25,,,,,,,,,,,,,,,91.29
514283,267.87,268.58,,,,,,,,,,,,,,,,,,,268.23
71992,249.74,134.77,280.55,86.33,126.19,156.73,215.03,12.11,32.77,18.56,10.70,16.41,,,,,,,,,111.66
441650,121.24,,,,,,,,,,,,,,,,,,,,121.24
232389,223.76,79.30,144.92,31.28,,,,,,,,,,,,,,,,,119.82
161451,269.13,,,,,,,,,,,,,,,,,,,,269.13
274270,363.67,69.47,83.23,76.68,102.39,39.42,36.70,56.36,54.88,42.77,42.01,,,,,,,,,,87.96
5312,71.71,8.98,,,,,,,,,,,,,,,,,,,40.34
560282,332.92,,,,,,,,,,,,,,,,,,,,332.92
562801,197.11,,,,,,,,,,,,,,,,,,,,197.11
296152,227.76,,,,,,,,,,,,,,,,,,,,227.76
426370,427.00,,,,,,,,,,,,,,,,,,,,427.00
460392,88.83,,,,,,,,,,,,,,,,,,,,88.83
99619,208.54,,,,,,,,,,,,,,,,,,,,208.54
288712,115.93,,,,,,,,,,,,,,,,,,,,115.93
456753,82.03,160.28,32.91,11.15,6.06,6.70,6.32,13.28,12.64,13.26,,,,,,,,,,,34.46
70800,252.51,,,,,,,,,,,,,,,,,,,,252.51
408067,323.47,,,,,,,,,,,,,,,,,,,,323.47
490437,195.59,,,,,,,,,,,,,,,,,,,,195.59
58973,19.77,,,,,,,,,,,,,,,,,,,,19.77
179039,77.16,,,,,,,,,,,,,,,,,,,,77.16
515561,607.87,,,,,,,,,,,,,,,,,,,,607.87
275630,200.63,120.09,,,,,,,,,,,,,,,,,,,160.36
221880,231.91,212.50,,,,,,,,,,,,,,,,,,,222.20
122983,14.44,13.41,22.56,7.19,5.44,8.36,6.79,11.18,7.97,12.85,8.50,10.58,507.00,,,,,,,,48.94
398130,185.77,,,,,,,,,,,,,,,,,,,,185.77
184805,270.38,84.91,,,,,,,,,,,,,,,,,,,177.64
396275,344.24,,,,,,,,,,,,,,,,,,,,344.24
423479,159.49,,,,,,,,,,,,,,,,,,,,159.49
463354,322.15,121.98,149.53,79.79,70.41,,,,,,,,,,,,,,,,148.77
273094,277.60,,,,,,,,,,,,,,,,,,,,277.60
301558,119.10,203.56,167.63,28.82,24.89,18.94,26.16,41.82,26.02,19.29,,,,,,,,,,,67.62
204275,198.13,7.89,17.76,14.96,23.21,23.79,26.58,19.12,7.70,9.13,8.13,7.22,7.89,,,,,,,,28.58
56550,176.57,,,,,,,,,,,,,,,,,,,,176.57
376502,325.12,300.94,,,,,,,,,,,,,,,,,,,313.03
49217,65.74,,,,,,,,,,,,,,,,,,,,65.74
303610,316.94,,,,,,,,,,,,,,,,,,,,316.94
258597,82.24,,,,,,,,,,,,,,,,,,,,82.24
424407,166.40,167.71,104.23,,,,,,,,,,,,,,,,,,146.11
